// Reference=MNI
// Fuentes-Claramonte, 2020
// Subjects=50
-52	14	36

// Furuichi, 2019
// Subjects=28
54.72	-39.83	44.37
34.08	22.72	48.61

// Pauly, 2013
// Subjects=26
49	-7	46
36	-20	43

// shad,2012
// subjects=32
9	-45	0

// Bedford, 2012
// Subjects=19
6.56	40.64	2.83
14.97	-70.72	35.67
-14.68	-60.84	41.51
-7.05	23.05	48.68
34.26	44.63	9.09
-14.73	37.96	2.22
44.88	-32.13	24.51
-39.38	-28.4	27.95

// Liu, 2014
// Subjects=30
-30	9	3
42	0	-15
60	-39	3

// Vinogradov, 2008
// Subjects=16
-4	-14	62
-4	-11	50
0	-21	53
22	9	-9
14	-74	-5
-2	12	36
-16	8	-2
-14	-2	4

// Blackwood, 2004
// Subjects=16
10.06	-45.98	15.48

// Marchewka, 2019
// Subjects=30
59.46	-20.67	-3.55
59.68	-49.72	7.16

// Sarsam, 2013
// Subjects=27
-1	21	48

// Blair, 2008
// Subjects=34
-42.68	25.62	13.23
54.6	29.89	18.45
-20.23	41.25	20.59
-35.92	1.8	48.61
-45.7	-43.81	10.17
49.21	-21.18	-8.43
53.35	2.74	-16.06
-62.54	-56.66	38.2
-28.63	-58.31	0.04
31.21	-76.61	-8.04
-27.97	82.47	3.83
48.28	45.14	37.32
21.37	-21.94	-15.86
20.39	55.92	27.81
-26.53	41.27	35.15

// McAdams, 2016
// Subjects=41
16	56	16
-26	35	38
